번호,가게명_원본,주소_원본,검색확인명,주소_상호_검증,음식종류,대표메뉴,가게특징,추천상황,맛_스타일,혼밥,술자리,매운맛,따뜻한국물,가벼운식사,오늘뭐먹지_검색태그,오늘뭐먹지_추천문장,조사신뢰도,웹검증출처,네이버지도_재확인,카카오맵_재확인,조사일
44,스미비부타동,서울 동작구 국사봉1길 41 1층 (상도동),스미비부타동,주소 불일치: 현재 검색상 국사봉1길 4 (원본은 41),부타동·일식 덮밥,"부타동, 토리동, 마제소바, 탄탄멘",숯불 돼지고기 덮밥; 바 좌석; 혼밥; 작은 매장; 일식 한 끼,"혼밥, 점심, 덮밥, 숯불향 고기","불향, 달짭, 고소함, 진한 소스",◎,△,○,△,△,"부타동, 일식 덮밥, 혼밥, 점심, 덮밥, 숯불향 고기, 불향, 달짭, 고소함, 진한 소스, 혼밥좋음",부타동·일식 덮밥 메뉴가 당기는 날,높음,https://search.naver.com/search.naver?query=%EC%8A%A4%EB%AF%B8%EB%B9%84%EB%B6%80%ED%83%80%EB%8F%99%20%EA%B5%AD%EC%82%AC%EB%B4%891%EA%B8%B8%204,https://map.naver.com/p/search/%EC%8A%A4%EB%AF%B8%EB%B9%84%EB%B6%80%ED%83%80%EB%8F%99%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EA%B5%AD%EC%82%AC%EB%B4%891%EA%B8%B8%2041%201%EC%B8%B5%20%28%EC%83%81%EB%8F%84%EB%8F%99%29,https://map.kakao.com/?q=%EC%8A%A4%EB%AF%B8%EB%B9%84%EB%B6%80%ED%83%80%EB%8F%99%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EA%B5%AD%EC%82%AC%EB%B4%891%EA%B8%B8%2041%201%EC%B8%B5%20%28%EC%83%81%EB%8F%84%EB%8F%99%29,2026-09-14
45,카츠 디나인 신대방삼거리 본점,서울 동작구 국사봉1길 12-5 1층 (상도동),카츠 디나인(카츠 D9),주소/상호 확인,돈카츠,"모듬돈카츠, 등심/안심 돈카츠 계열",돈카츠 전문; 동작구 인정맛집/모범음식점 정보; 점심; 바삭한 메뉴,"점심, 혼밥, 돈카츠, 든든한 한 끼","바삭함, 육즙, 고소함",◎,△,X,X,△,"돈카츠, 점심, 혼밥, 든든한 한 끼, 바삭함, 육즙, 고소함, 혼밥좋음",돈카츠 메뉴가 당기는 날,높음,https://fmr.purpleo.co.kr/view/3712,https://map.naver.com/p/search/%EC%B9%B4%EC%B8%A0%20%EB%94%94%EB%82%98%EC%9D%B8%28%EC%B9%B4%EC%B8%A0%20D9%29%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EA%B5%AD%EC%82%AC%EB%B4%891%EA%B8%B8%2012-5%201%EC%B8%B5%20%28%EC%83%81%EB%8F%84%EB%8F%99%29,https://map.kakao.com/?q=%EC%B9%B4%EC%B8%A0%20%EB%94%94%EB%82%98%EC%9D%B8%28%EC%B9%B4%EC%B8%A0%20D9%29%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EA%B5%AD%EC%82%AC%EB%B4%891%EA%B8%B8%2012-5%201%EC%B8%B5%20%28%EC%83%81%EB%8F%84%EB%8F%99%29,2026-09-14
46,포안베트남쌀국수,서울 동작구 국사봉1길 11 대룡빌딩 1층 (상도동),포안베트남쌀국수,주소/상호 확인,베트남쌀국수·분짜,"소고기쌀국수, 얼큰소고기쌀국수, 해물짬뽕쌀국수, 반미, 분짜, 볶음밥",쌀국수 메뉴 다양; 혼밥; 해장; 푸짐함; 깔끔한 식사,"혼밥, 해장, 점심, 따뜻한 국물","담백한 육수, 얼큰 선택, 향신료, 뜨끈함",◎,X,○,◎,○,"베트남쌀국수, 분짜, 혼밥, 해장, 점심, 따뜻한 국물, 담백한 육수, 얼큰 선택, 향신료, 뜨끈함, 혼밥좋음, 국물",따뜻한 국물 한 끼가 당기는 날,높음,https://search.naver.com/search.naver?query=%ED%8F%AC%EC%95%88%EB%B2%A0%ED%8A%B8%EB%82%A8%EC%8C%80%EA%B5%AD%EC%88%98%20%EA%B5%AD%EC%82%AC%EB%B4%891%EA%B8%B8%2011,https://map.naver.com/p/search/%ED%8F%AC%EC%95%88%EB%B2%A0%ED%8A%B8%EB%82%A8%EC%8C%80%EA%B5%AD%EC%88%98%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EA%B5%AD%EC%82%AC%EB%B4%891%EA%B8%B8%2011%20%EB%8C%80%EB%A3%A1%EB%B9%8C%EB%94%A9%201%EC%B8%B5%20%28%EC%83%81%EB%8F%84%EB%8F%99%29,https://map.kakao.com/?q=%ED%8F%AC%EC%95%88%EB%B2%A0%ED%8A%B8%EB%82%A8%EC%8C%80%EA%B5%AD%EC%88%98%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EA%B5%AD%EC%82%AC%EB%B4%891%EA%B8%B8%2011%20%EB%8C%80%EB%A3%A1%EB%B9%8C%EB%94%A9%201%EC%B8%B5%20%28%EC%83%81%EB%8F%84%EB%8F%99%29,2026-09-14
47,즉석손바지락칼국수,서울 동작구 상도로 77 1층 (대방동),즉석손바지락칼국수,주소/상호 확인,바지락칼국수,바지락칼국수 중심,바지락 듬뿍 국물; 회전 빠른 편 후기; 김치와 먹는 칼국수; 한 메뉴 집중형,"비 오는 날, 추운 날, 점심, 혼밥, 시원한 국물","시원한 국물, 담백함, 뜨끈함",◎,X,△,◎,○,"바지락칼국수, 비 오는 날, 추운 날, 점심, 혼밥, 시원한 국물, 담백함, 뜨끈함, 혼밥좋음, 국물",따뜻한 국물 한 끼가 당기는 날,높음,https://search.naver.com/search.naver?query=%EC%A6%89%EC%84%9D%EC%86%90%EB%B0%94%EC%A7%80%EB%9D%BD%EC%B9%BC%EA%B5%AD%EC%88%98%20%EC%83%81%EB%8F%84%EB%A1%9C%2077,https://map.naver.com/p/search/%EC%A6%89%EC%84%9D%EC%86%90%EB%B0%94%EC%A7%80%EB%9D%BD%EC%B9%BC%EA%B5%AD%EC%88%98%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%83%81%EB%8F%84%EB%A1%9C%2077%201%EC%B8%B5%20%28%EB%8C%80%EB%B0%A9%EB%8F%99%29,https://map.kakao.com/?q=%EC%A6%89%EC%84%9D%EC%86%90%EB%B0%94%EC%A7%80%EB%9D%BD%EC%B9%BC%EA%B5%AD%EC%88%98%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%83%81%EB%8F%84%EB%A1%9C%2077%201%EC%B8%B5%20%28%EB%8C%80%EB%B0%A9%EB%8F%99%29,2026-09-14
48,오늘스시해,서울 동작구 대방동길 9 1층 102호 (대방동),오늘스시해,주소/상호 확인,초밥·스시,"런치세트, 모듬초밥, 특선초밥, 스페셜초밥, 묵은지광어",아담한 스시집; 혼밥; 데이트; 점심세트; 깔끔한 분위기,"점심, 혼밥, 데이트, 초밥","신선함, 담백함, 산뜻함",◎,△,X,△,○,"초밥, 스시, 점심, 혼밥, 데이트, 신선함, 담백함, 산뜻함, 혼밥좋음",초밥·스시 메뉴가 당기는 날,높음,https://search.naver.com/search.naver?query=%EC%98%A4%EB%8A%98%EC%8A%A4%EC%8B%9C%ED%95%B4%20%EB%8C%80%EB%B0%A9%EB%8F%99%EA%B8%B8%209,https://map.naver.com/p/search/%EC%98%A4%EB%8A%98%EC%8A%A4%EC%8B%9C%ED%95%B4%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EB%8C%80%EB%B0%A9%EB%8F%99%EA%B8%B8%209%201%EC%B8%B5%20102%ED%98%B8%20%28%EB%8C%80%EB%B0%A9%EB%8F%99%29,https://map.kakao.com/?q=%EC%98%A4%EB%8A%98%EC%8A%A4%EC%8B%9C%ED%95%B4%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EB%8C%80%EB%B0%A9%EB%8F%99%EA%B8%B8%209%201%EC%B8%B5%20102%ED%98%B8%20%28%EB%8C%80%EB%B0%A9%EB%8F%99%29,2026-09-14
49,프랭크버거 신대방삼거리역점,서울 동작구 상도로 59 리안 1층 101호 (대방동),프랭크버거 신대방삼거리역점,주소/상호 확인,햄버거,"프랭크버거, 치즈버거, 불고기버거, 쉬림프버거",캐주얼 버거; 혼밥; 간식; 배달/포장; 빠른 식사,"혼밥, 간단한 저녁, 버거, 포장","고소함, 짭짤함, 육즙",◎,X,△,X,△,"햄버거, 혼밥, 간단한 저녁, 버거, 포장, 고소함, 짭짤함, 육즙, 혼밥좋음",간단하고 익숙한 메뉴로 빠르게 먹고 싶은 날,높음,https://search.naver.com/search.naver?query=%ED%94%84%EB%9E%AD%ED%81%AC%EB%B2%84%EA%B1%B0%20%EC%8B%A0%EB%8C%80%EB%B0%A9%EC%82%BC%EA%B1%B0%EB%A6%AC%EC%97%AD%EC%A0%90,https://map.naver.com/p/search/%ED%94%84%EB%9E%AD%ED%81%AC%EB%B2%84%EA%B1%B0%20%EC%8B%A0%EB%8C%80%EB%B0%A9%EC%82%BC%EA%B1%B0%EB%A6%AC%EC%97%AD%EC%A0%90%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%83%81%EB%8F%84%EB%A1%9C%2059%20%EB%A6%AC%EC%95%88%201%EC%B8%B5%20101%ED%98%B8%20%28%EB%8C%80%EB%B0%A9%EB%8F%99%29,https://map.kakao.com/?q=%ED%94%84%EB%9E%AD%ED%81%AC%EB%B2%84%EA%B1%B0%20%EC%8B%A0%EB%8C%80%EB%B0%A9%EC%82%BC%EA%B1%B0%EB%A6%AC%EC%97%AD%EC%A0%90%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%83%81%EB%8F%84%EB%A1%9C%2059%20%EB%A6%AC%EC%95%88%201%EC%B8%B5%20101%ED%98%B8%20%28%EB%8C%80%EB%B0%A9%EB%8F%99%29,2026-09-14
50,버거리 신대방삼거리역점,서울 동작구 상도로 62 칸타빌레 1층 101호 (대방동),버거리 신대방삼거리역점,주소/상호 확인,수제버거,"프레쉬버거, 버거리버거, 클래식치즈버거, 쉬림프버거, 트러플버거",가성비 수제버거; 혼밥; 바 좌석; 포장; 캐주얼,"혼밥, 버거, 빠른 점심/저녁, 포장","육즙, 치즈, 고소함, 짭짤함",◎,X,△,X,△,"수제버거, 혼밥, 버거, 빠른 점심, 저녁, 포장, 육즙, 치즈, 고소함, 짭짤함, 혼밥좋음",간단하고 익숙한 메뉴로 빠르게 먹고 싶은 날,높음,https://search.naver.com/search.naver?query=%EB%B2%84%EA%B1%B0%EB%A6%AC%20%EC%8B%A0%EB%8C%80%EB%B0%A9%EC%82%BC%EA%B1%B0%EB%A6%AC%EC%97%AD%EC%A0%90,https://map.naver.com/p/search/%EB%B2%84%EA%B1%B0%EB%A6%AC%20%EC%8B%A0%EB%8C%80%EB%B0%A9%EC%82%BC%EA%B1%B0%EB%A6%AC%EC%97%AD%EC%A0%90%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%83%81%EB%8F%84%EB%A1%9C%2062%20%EC%B9%B8%ED%83%80%EB%B9%8C%EB%A0%88%201%EC%B8%B5%20101%ED%98%B8%20%28%EB%8C%80%EB%B0%A9%EB%8F%99%29,https://map.kakao.com/?q=%EB%B2%84%EA%B1%B0%EB%A6%AC%20%EC%8B%A0%EB%8C%80%EB%B0%A9%EC%82%BC%EA%B1%B0%EB%A6%AC%EC%97%AD%EC%A0%90%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%83%81%EB%8F%84%EB%A1%9C%2062%20%EC%B9%B8%ED%83%80%EB%B9%8C%EB%A0%88%201%EC%B8%B5%20101%ED%98%B8%20%28%EB%8C%80%EB%B0%A9%EB%8F%99%29,2026-09-14
51,샤브로21 신대방삼거리,서울 동작구 여의대방로24길 129 더킴벌리빌딩 1층,샤브로21 신대방삼거리,주소/상호 확인,1인 샤브샤브,"기본 샤브샤브, 얼큰샤브, 미소샤브, 마라샤브, 포샤브, 반반샤브, 불고기덮밥",1인 샤브; 혼밥; 가성비; 바 테이블; 국물 선택 다양,"혼밥, 따뜻한 국물, 야채 많이, 점심/저녁","담백/얼큰/마라 선택, 뜨끈함",◎,△,○,◎,○,"1인 샤브샤브, 혼밥, 따뜻한 국물, 야채 많이, 점심, 저녁, 담백, 얼큰, 마라 선택, 뜨끈함, 혼밥좋음, 국물",따뜻한 국물 한 끼가 당기는 날,높음,https://search.naver.com/search.naver?query=%EC%83%A4%EB%B8%8C%EB%A1%9C21%20%EC%8B%A0%EB%8C%80%EB%B0%A9%EC%82%BC%EA%B1%B0%EB%A6%AC,https://map.naver.com/p/search/%EC%83%A4%EB%B8%8C%EB%A1%9C21%20%EC%8B%A0%EB%8C%80%EB%B0%A9%EC%82%BC%EA%B1%B0%EB%A6%AC%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%97%AC%EC%9D%98%EB%8C%80%EB%B0%A9%EB%A1%9C24%EA%B8%B8%20129%20%EB%8D%94%ED%82%B4%EB%B2%8C%EB%A6%AC%EB%B9%8C%EB%94%A9%201%EC%B8%B5,https://map.kakao.com/?q=%EC%83%A4%EB%B8%8C%EB%A1%9C21%20%EC%8B%A0%EB%8C%80%EB%B0%A9%EC%82%BC%EA%B1%B0%EB%A6%AC%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%97%AC%EC%9D%98%EB%8C%80%EB%B0%A9%EB%A1%9C24%EA%B8%B8%20129%20%EB%8D%94%ED%82%B4%EB%B2%8C%EB%A6%AC%EB%B9%8C%EB%94%A9%201%EC%B8%B5,2026-09-14
52,한제소곱창전골 신대방삼거리역점,서울 동작구 여의대방로22길 121 보라매자이 더 포레스트 상가,한제소곱창전골 신대방삼거리역점,주소/상호 확인,소곱창전골·전골,"소곱창전골, 소고기전골, 곱창튀김, 수육",전골 전문; 술모임; 해장; 매콤한 국물; 저녁; 배달 정보,"술자리, 해장, 비 오는 날, 저녁, 여럿이","매콤함, 진한 국물, 뜨끈함, 고소함",△,◎,◎,◎,X,"소곱창전골, 전골, 술자리, 해장, 비 오는 날, 저녁, 여럿이, 매콤함, 진한 국물, 뜨끈함, 고소함, 술자리좋음, 매운맛, 국물",뜨끈하고 매콤한 국물로 속을 풀고 싶은 날,높음,https://search.naver.com/search.naver?query=%ED%95%9C%EC%A0%9C%EC%86%8C%EA%B3%B1%EC%B0%BD%EC%A0%84%EA%B3%A8%20%EC%8B%A0%EB%8C%80%EB%B0%A9%EC%82%BC%EA%B1%B0%EB%A6%AC%EC%97%AD%EC%A0%90,https://map.naver.com/p/search/%ED%95%9C%EC%A0%9C%EC%86%8C%EA%B3%B1%EC%B0%BD%EC%A0%84%EA%B3%A8%20%EC%8B%A0%EB%8C%80%EB%B0%A9%EC%82%BC%EA%B1%B0%EB%A6%AC%EC%97%AD%EC%A0%90%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%97%AC%EC%9D%98%EB%8C%80%EB%B0%A9%EB%A1%9C22%EA%B8%B8%20121%20%EB%B3%B4%EB%9D%BC%EB%A7%A4%EC%9E%90%EC%9D%B4%20%EB%8D%94%20%ED%8F%AC%EB%A0%88%EC%8A%A4%ED%8A%B8%20%EC%83%81%EA%B0%80,https://map.kakao.com/?q=%ED%95%9C%EC%A0%9C%EC%86%8C%EA%B3%B1%EC%B0%BD%EC%A0%84%EA%B3%A8%20%EC%8B%A0%EB%8C%80%EB%B0%A9%EC%82%BC%EA%B1%B0%EB%A6%AC%EC%97%AD%EC%A0%90%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%97%AC%EC%9D%98%EB%8C%80%EB%B0%A9%EB%A1%9C22%EA%B8%B8%20121%20%EB%B3%B4%EB%9D%BC%EB%A7%A4%EC%9E%90%EC%9D%B4%20%EB%8D%94%20%ED%8F%AC%EB%A0%88%EC%8A%A4%ED%8A%B8%20%EC%83%81%EA%B0%80,2026-09-14
53,마라홀릭 신대방점,서울 동작구 여의대방로22길 121 보라매자이 더 포레스트 상가,마라홀릭 신대방점,주소/상호 확인,마라탕·마라샹궈,"셀프 마라탕, 마라샹궈, 꿔바로우",재료 직접 선택; 중량형; 맵기 조절; 혼밥; 주차 정보,"매운 음식, 혼밥, 마라, 친구와","얼얼함, 매콤함, 향신료, 뜨거운 국물",◎,△,◎,◎,△,"마라탕, 마라샹궈, 매운 음식, 혼밥, 마라, 친구와, 얼얼함, 매콤함, 향신료, 뜨거운 국물, 혼밥좋음, 매운맛, 국물",뜨끈하고 매콤한 국물로 속을 풀고 싶은 날,높음,https://search.naver.com/search.naver?query=%EB%A7%88%EB%9D%BC%ED%99%80%EB%A6%AD%20%EC%8B%A0%EB%8C%80%EB%B0%A9%EC%A0%90,https://map.naver.com/p/search/%EB%A7%88%EB%9D%BC%ED%99%80%EB%A6%AD%20%EC%8B%A0%EB%8C%80%EB%B0%A9%EC%A0%90%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%97%AC%EC%9D%98%EB%8C%80%EB%B0%A9%EB%A1%9C22%EA%B8%B8%20121%20%EB%B3%B4%EB%9D%BC%EB%A7%A4%EC%9E%90%EC%9D%B4%20%EB%8D%94%20%ED%8F%AC%EB%A0%88%EC%8A%A4%ED%8A%B8%20%EC%83%81%EA%B0%80,https://map.kakao.com/?q=%EB%A7%88%EB%9D%BC%ED%99%80%EB%A6%AD%20%EC%8B%A0%EB%8C%80%EB%B0%A9%EC%A0%90%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%97%AC%EC%9D%98%EB%8C%80%EB%B0%A9%EB%A1%9C22%EA%B8%B8%20121%20%EB%B3%B4%EB%9D%BC%EB%A7%A4%EC%9E%90%EC%9D%B4%20%EB%8D%94%20%ED%8F%AC%EB%A0%88%EC%8A%A4%ED%8A%B8%20%EC%83%81%EA%B0%80,2026-09-14
54,윤윤차이나,서울 동작구 여의대방로22길 121 보라매자이 더 포레스트 상가,윤윤차이나,주소/상호 확인,중식,"윤윤짜장면, 윤윤짬뽕, 윤윤탕수육, 2인/4인 한상",전통 중식; 가족모임; 회식; 한상 메뉴; 불맛,"가족식사, 회식, 점심, 중식 여러 메뉴","불맛, 얼큰함, 달큰함, 짭짤함",○,○,○,○,△,"중식, 가족식사, 회식, 점심, 중식 여러 메뉴, 불맛, 얼큰함, 달큰함, 짭짤함",중식 메뉴가 당기는 날,높음,https://search.naver.com/search.naver?query=%EC%9C%A4%EC%9C%A4%EC%B0%A8%EC%9D%B4%EB%82%98%20%EC%8B%A0%EB%8C%80%EB%B0%A9%EC%82%BC%EA%B1%B0%EB%A6%AC,https://map.naver.com/p/search/%EC%9C%A4%EC%9C%A4%EC%B0%A8%EC%9D%B4%EB%82%98%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%97%AC%EC%9D%98%EB%8C%80%EB%B0%A9%EB%A1%9C22%EA%B8%B8%20121%20%EB%B3%B4%EB%9D%BC%EB%A7%A4%EC%9E%90%EC%9D%B4%20%EB%8D%94%20%ED%8F%AC%EB%A0%88%EC%8A%A4%ED%8A%B8%20%EC%83%81%EA%B0%80,https://map.kakao.com/?q=%EC%9C%A4%EC%9C%A4%EC%B0%A8%EC%9D%B4%EB%82%98%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%97%AC%EC%9D%98%EB%8C%80%EB%B0%A9%EB%A1%9C22%EA%B8%B8%20121%20%EB%B3%B4%EB%9D%BC%EB%A7%A4%EC%9E%90%EC%9D%B4%20%EB%8D%94%20%ED%8F%AC%EB%A0%88%EC%8A%A4%ED%8A%B8%20%EC%83%81%EA%B0%80,2026-09-14
55,고향엄마손생바지락칼국수 신대방삼거리점,서울 동작구 여의대방로22길 121 보라매자이 더 포레스트 상가,고향엄마손생바지락칼국수 신대방삼거리점,주소/상호 확인,바지락칼국수·수제비,"마라바지락칼국수, 바지락수제비, 매생이바지락칼국수, 들깨바지락칼국수, 꼬막비빔국수",칼국수 종류 다양; 국물; 단체/포장/배달 정보; 아이 동반 편의 정보,"비 오는 날, 가족식사, 따뜻한 국물, 점심","시원함, 뜨끈함, 들깨 고소함, 마라 선택",◎,X,○,◎,○,"바지락칼국수, 수제비, 비 오는 날, 가족식사, 따뜻한 국물, 점심, 시원함, 뜨끈함, 들깨 고소함, 마라 선택, 혼밥좋음, 국물",따뜻한 국물 한 끼가 당기는 날,높음,https://search.naver.com/search.naver?query=%EA%B3%A0%ED%96%A5%EC%97%84%EB%A7%88%EC%86%90%EC%83%9D%EB%B0%94%EC%A7%80%EB%9D%BD%EC%B9%BC%EA%B5%AD%EC%88%98%20%EC%8B%A0%EB%8C%80%EB%B0%A9%EC%82%BC%EA%B1%B0%EB%A6%AC%EC%A0%90,https://map.naver.com/p/search/%EA%B3%A0%ED%96%A5%EC%97%84%EB%A7%88%EC%86%90%EC%83%9D%EB%B0%94%EC%A7%80%EB%9D%BD%EC%B9%BC%EA%B5%AD%EC%88%98%20%EC%8B%A0%EB%8C%80%EB%B0%A9%EC%82%BC%EA%B1%B0%EB%A6%AC%EC%A0%90%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%97%AC%EC%9D%98%EB%8C%80%EB%B0%A9%EB%A1%9C22%EA%B8%B8%20121%20%EB%B3%B4%EB%9D%BC%EB%A7%A4%EC%9E%90%EC%9D%B4%20%EB%8D%94%20%ED%8F%AC%EB%A0%88%EC%8A%A4%ED%8A%B8%20%EC%83%81%EA%B0%80,https://map.kakao.com/?q=%EA%B3%A0%ED%96%A5%EC%97%84%EB%A7%88%EC%86%90%EC%83%9D%EB%B0%94%EC%A7%80%EB%9D%BD%EC%B9%BC%EA%B5%AD%EC%88%98%20%EC%8B%A0%EB%8C%80%EB%B0%A9%EC%82%BC%EA%B1%B0%EB%A6%AC%EC%A0%90%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%97%AC%EC%9D%98%EB%8C%80%EB%B0%A9%EB%A1%9C22%EA%B8%B8%20121%20%EB%B3%B4%EB%9D%BC%EB%A7%A4%EC%9E%90%EC%9D%B4%20%EB%8D%94%20%ED%8F%AC%EB%A0%88%EC%8A%A4%ED%8A%B8%20%EC%83%81%EA%B0%80,2026-09-14
56,미태리 신대방삼거리역점,서울 동작구 여의대방로22길 121 보라매자이 더 포레스트 상가,미태리 신대방삼거리역점,주소/상호 확인,파스타·이탈리안,"파스타, 감바스파스타, 고기고기분모자파스타, 올데이세트",가성비 파스타; 데이트; 혼밥; 배달; 캐주얼 이탈리안,"데이트, 파스타, 점심, 가벼운 약속","토마토/크림, 고소함, 감칠맛",◎,△,△,X,△,"파스타, 이탈리안, 데이트, 점심, 가벼운 약속, 토마토, 크림, 고소함, 감칠맛, 혼밥좋음",파스타·이탈리안 메뉴가 당기는 날,높음,https://search.naver.com/search.naver?query=%EB%AF%B8%ED%83%9C%EB%A6%AC%20%EC%8B%A0%EB%8C%80%EB%B0%A9%EC%82%BC%EA%B1%B0%EB%A6%AC%EC%97%AD%EC%A0%90,https://map.naver.com/p/search/%EB%AF%B8%ED%83%9C%EB%A6%AC%20%EC%8B%A0%EB%8C%80%EB%B0%A9%EC%82%BC%EA%B1%B0%EB%A6%AC%EC%97%AD%EC%A0%90%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%97%AC%EC%9D%98%EB%8C%80%EB%B0%A9%EB%A1%9C22%EA%B8%B8%20121%20%EB%B3%B4%EB%9D%BC%EB%A7%A4%EC%9E%90%EC%9D%B4%20%EB%8D%94%20%ED%8F%AC%EB%A0%88%EC%8A%A4%ED%8A%B8%20%EC%83%81%EA%B0%80,https://map.kakao.com/?q=%EB%AF%B8%ED%83%9C%EB%A6%AC%20%EC%8B%A0%EB%8C%80%EB%B0%A9%EC%82%BC%EA%B1%B0%EB%A6%AC%EC%97%AD%EC%A0%90%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%97%AC%EC%9D%98%EB%8C%80%EB%B0%A9%EB%A1%9C22%EA%B8%B8%20121%20%EB%B3%B4%EB%9D%BC%EB%A7%A4%EC%9E%90%EC%9D%B4%20%EB%8D%94%20%ED%8F%AC%EB%A0%88%EC%8A%A4%ED%8A%B8%20%EC%83%81%EA%B0%80,2026-09-14
57,네모오징어 신대방삼거리역점,서울 동작구 여의대방로24길 107 1층 (대방동),네모오징어 신대방삼거리역점,주소/상호 확인,갑오징어·오징어 요리,"갑삼불고기, 갑오징어불고기, 갑오징어튀김, 연포탕, 명란불고기",갑오징어 전문; 매콤달콤; 점심/저녁; 회식; 단체,"매운 것, 회식, 술자리, 해산물, 점심","매콤달콤, 불맛, 쫄깃함, 진한 양념",○,◎,◎,○,X,"갑오징어, 오징어 요리, 매운 것, 회식, 술자리, 해산물, 점심, 매콤달콤, 불맛, 쫄깃함, 진한 양념, 술자리좋음, 매운맛",저녁에 음식과 술을 같이 즐기고 싶은 날,높음,https://search.naver.com/search.naver?query=%EB%84%A4%EB%AA%A8%EC%98%A4%EC%A7%95%EC%96%B4%20%EC%8B%A0%EB%8C%80%EB%B0%A9%EC%82%BC%EA%B1%B0%EB%A6%AC%EC%97%AD%EC%A0%90,https://map.naver.com/p/search/%EB%84%A4%EB%AA%A8%EC%98%A4%EC%A7%95%EC%96%B4%20%EC%8B%A0%EB%8C%80%EB%B0%A9%EC%82%BC%EA%B1%B0%EB%A6%AC%EC%97%AD%EC%A0%90%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%97%AC%EC%9D%98%EB%8C%80%EB%B0%A9%EB%A1%9C24%EA%B8%B8%20107%201%EC%B8%B5%20%28%EB%8C%80%EB%B0%A9%EB%8F%99%29,https://map.kakao.com/?q=%EB%84%A4%EB%AA%A8%EC%98%A4%EC%A7%95%EC%96%B4%20%EC%8B%A0%EB%8C%80%EB%B0%A9%EC%82%BC%EA%B1%B0%EB%A6%AC%EC%97%AD%EC%A0%90%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%97%AC%EC%9D%98%EB%8C%80%EB%B0%A9%EB%A1%9C24%EA%B8%B8%20107%201%EC%B8%B5%20%28%EB%8C%80%EB%B0%A9%EB%8F%99%29,2026-09-14
